date,close_price,high_price,low_price,open_price,volume
07/08/2017,10.2435,10.2997,10.2247,10.2622,35013023
08/08/2017,10.2153,10.3185,10.2059,10.2716,26322101
09/08/2017,10.2435,10.2716,10.159,10.2059,32155872
10/08/2017,10.1028,10.2341,10.1028,10.2059,31903827
11/08/2017,10.1028,10.1684,10.0934,10.1215,32300117
14/08/2017,10.2341,10.2716,10.1215,10.1497,26413474
15/08/2017,10.1684,10.3185,10.1637,10.2435,29266299
16/08/2017,10.1309,10.2247,10.1121,10.1872,28316308
17/08/2017,9.9808,10.1309,9.9433,10.1215,35518834
18/08/2017,9.9058,9.9714,9.8213,9.962,43998743
21/08/2017,9.9151,9.9949,9.8682,9.8776,30152540
22/08/2017,9.9902,10.0652,9.9527,9.9527,28676062
23/08/2017,10.0465,10.1121,9.9339,9.9527,35405768
24/08/2017,10.0465,10.1309,10.0277,10.084,33584388
25/08/2017,10.1497,10.2059,10.0934,10.1028,35926827
28/08/2017,10.1215,10.2059,10.0652,10.1872,22307395
29/08/2017,10.1684,10.2153,10.0652,10.084,29807261
30/08/2017,10.2622,10.2622,10.1028,10.1497,23629293
31/08/2017,10.3466,10.5061,10.2716,10.2904,54208921
01/09/2017,10.6468,10.7219,10.4498,10.4874,64560278
05/09/2017,10.6562,10.6843,10.5436,10.6562,44000160
06/09/2017,10.7875,10.8157,10.6834,10.6843,43279041
07/09/2017,10.6937,10.8063,10.6281,10.8063,30271005
08/09/2017,10.6562,10.6843,10.5905,10.6374,26633932
11/09/2017,10.7031,10.7406,10.675,10.6937,43375019
12/09/2017,10.872,10.947,10.6843,10.7219,41386669
13/09/2017,10.9001,10.9095,10.8063,10.8813,23302152
14/09/2017,10.8438,10.9564,10.7688,10.8813,31696274
15/09/2017,10.9001,10.9095,10.7781,10.825,30865470
18/09/2017,10.9095,11.0033,10.8766,10.9095,25132356
19/09/2017,10.9939,11.0127,10.9001,10.9095,26392861
20/09/2017,10.9845,11.0643,10.9142,10.9564,26705319
21/09/2017,10.9939,11.0877,10.9658,10.9845,40319429
22/09/2017,11.1065,11.1346,10.9939,11.0127,30196459
25/09/2017,11.2003,11.3128,11.1065,11.144,40766002
26/09/2017,11.1909,11.2566,11.1627,11.2096,30646723
27/09/2017,11.2096,11.2753,11.1252,11.2378,28412202
28/09/2017,11.219,11.2472,11.1627,11.2096,23105656
29/09/2017,11.2284,11.2753,11.1815,11.2284,31227515
02/10/2017,11.341,11.341,11.2284,11.2566,36019960
03/10/2017,11.5755,11.6599,11.4629,11.5567,65641714
04/10/2017,11.538,11.6881,11.5192,11.5661,52909843
05/10/2017,11.4911,11.5942,11.3973,11.5755,48145783
06/10/2017,11.5473,11.5661,11.4371,11.4442,35091790
09/10/2017,11.5755,11.6411,11.4911,11.5661,28924795
10/10/2017,11.6224,11.6505,11.4911,11.5755,40586234
11/10/2017,11.613,11.6599,11.5473,11.5661,34953438
12/10/2017,11.3691,11.5567,11.3597,11.538,45924434
13/10/2017,11.3035,11.416,11.1346,11.3128,44597334
16/10/2017,11.3691,11.3973,11.219,11.2472,32349675
17/10/2017,11.5098,11.5473,11.3691,11.3785,55273235
18/10/2017,11.4348,11.5849,11.416,11.5192,30783686
19/10/2017,11.4723,11.4911,11.3035,11.3879,29678158
20/10/2017,11.4913,11.5293,11.3963,11.5103,28171651
23/10/2017,11.4343,11.5768,11.4343,11.5008,21504813
24/10/2017,11.5768,11.6432,11.4827,11.5008,34651185
25/10/2017,11.4343,11.5388,11.3678,11.5388,47674841
